,latency,scale,effective_difficulty,avg_movement_time,throughput,avg_target_error,avg_movement_speed,effective_width,effective_distance,avg_osd,target_error_rate,avg_translation_efficiency,num_clutches
0,0.75,0.075,2.7051717490077465,8.184226168526543,0.3305348231224132,7.794747609558706,25.475673392326218,36.40955252277179,201.0300635213533,3.001171072048315,0.0,0.9416974959843295,11
1,0.5,0.075,3.159957662826756,6.954936954710218,0.45434742017131885,6.010444251854789,30.63414456573528,25.754538828902696,204.4404256394653,3.9702504437728288,0.0,0.9104720206676328,12
2,0.0,1.0,2.952398202001906,0.6447980668809679,4.578795057936999,11.242360693673636,330.5694961396314,31.450770762162435,211.98910128732572,6.009037534728551,0.0,0.9235289565202566,0
3,0.5,0.7,1.9557105782235769,2.0723217328389487,0.9437292227517095,15.745396183192813,102.3151917977204,68.13805584232696,196.17418990713213,48.23176168727485,22.22222222222222,0.6415888368316706,0
4,0.0,0.2,3.3767163332370878,1.0859917004903157,3.1093389863960565,7.117572444969145,172.07198141794544,19.667605692276478,184.6211183362054,0.5012539686160188,0.0,1.016370822096302,0
5,0.75,1.0,0.8653203226915784,2.650207863913642,0.326510359611466,46.42347096354479,103.25531076043102,295.1502086215952,242.537944181008,66.74151925504549,66.66666666666666,0.6509574395213149,0
6,0.0,0.075,3.3973963332451884,4.278914584053888,0.7939855462191675,9.872569965403484,48.86010011600643,18.45533418482358,176.00906992926923,0.08184088747996657,11.11111111111111,1.0192253877811153,10
7,0.75,0.1,2.9565631795795664,7.17441709836324,0.4120980337558116,7.667435528344043,28.67807849520958,30.10925517520057,203.62061264070178,5.407475306423651,0.0,0.9090236662858204,10
8,0.5,0.2,2.6736591521000435,2.1461720996432834,1.2457804071464884,7.401030396111712,96.52456525323655,37.918901847126016,204.02091881843023,4.372308190868605,11.11111111111111,0.9281606400574086,0
9,0.25,0.7,2.344734975396407,1.4488929642571344,1.6182941274744764,11.525317530266161,131.0742154296405,45.32232273130735,184.90015226439607,7.052114221523239,0.0,0.9071428543808503,0
10,0.0,0.7,2.9217377657784174,0.7201044824388292,4.0573803344247485,9.232228160929623,254.84289369608996,27.774220511994166,182.6872430591666,0.23095158755061018,0.0,1.00089353446537,0
11,0.25,0.4,2.8290739316361093,1.3795726299285889,2.050688648253736,7.4903023434405185,145.78146949924238,32.06408501337954,195.78902707968663,3.1333149199759975,0.0,0.9605179091267801,0
12,0.25,0.15,3.392783011473099,3.7594357596503363,0.9024713356955089,5.056159855360693,54.78911285097072,19.96798347731276,189.76351697645643,0.5960285427905893,0.0,0.9793435500921339,5
13,0.5,0.1,2.7476337979625325,5.534386157989502,0.4964658626135109,6.761133401771401,37.07986064105826,33.86231521733117,193.56197001080852,1.9394541175890139,0.0,0.9517930131277352,9
14,0.75,0.15,2.3861936031404984,5.604125473234388,0.4257923229123064,11.999165649330603,42.95815129004032,49.33899029993257,208.5935334987022,10.946075066649573,22.22222222222222,0.8623623044913555,6
15,0.25,0.1,3.758338340800802,3.9833090835147433,0.9435216454467464,4.9553123727655715,51.86607609488689,15.045347647509848,188.55325908870287,0.7820126726577141,0.0,0.9782773096680272,6
16,0.25,0.075,3.8466720067599884,6.977013799879286,0.5513350148206017,6.769534099874671,27.294906085130915,13.650505070497866,182.73633314381198,0.2606122595657503,0.0,0.9819786458875309,13
17,0.5,0.15,3.0477037164368235,3.7602634694841175,0.8105027057731536,7.437741346987465,62.04243188630866,28.276051997465032,205.53713853479385,4.332471563514849,0.0,0.9371085176286031,4
18,0.0,0.15,3.0064795853063795,1.3935966491699219,2.157352765663688,8.133736491639937,130.41813157734575,25.535502939832732,179.66808617745266,0.010123251935002013,0.0,1.0238177971596736,0
19,0.5,1.0,1.1298972146390855,2.2737453513675265,0.49693217138828566,33.85109056210385,106.19334161314087,188.19759700908105,223.65994899585183,40.80897997573644,55.55555555555556,0.7019526054089558,0
20,0.75,0.2,2.3139711406060024,2.9969685872395835,0.7721039020757073,15.428413509778798,73.69439837680684,54.04184036988871,214.68116794414146,13.433718472641678,33.33333333333333,0.8709264908049603,0
21,0.75,0.7,1.435906567744778,2.9632589552137585,0.4845700593322587,23.53820833765164,68.32587255251724,108.55922130590866,185.15005780423064,51.90367986380344,44.44444444444444,0.6414208812162596,0
22,0.0,0.1,3.5147539621540265,2.284396357006497,1.5385920010657899,8.861612078227544,85.48248834832958,17.264892525828333,180.07289247313236,0.6646422023910525,0.0,1.0128103903514978,6
23,0.25,1.0,1.7395217771232805,1.3383959664238825,1.2997063804452305,16.526100028021776,163.12106159054238,88.53212961790632,207.09830660566917,21.99464223255458,22.22222222222222,0.8092400502814887,0
24,0.25,0.2,3.254216226276469,2.0506309138403993,1.586934150028007,5.973256258389963,95.94623313721752,22.123045072321002,188.96400982792642,0.9358933817709416,0.0,0.9832039146166518,0
25,0.75,0.4,1.3994923556440917,2.2454003757900662,0.623270740814616,35.95452057177252,114.65895380669332,152.77187611185204,250.25368356939705,30.739946712838176,77.77777777777779,0.8077518132970815,0
26,0.0,0.4,3.7190178333404953,0.8491186830732558,4.379856323358799,4.69253029285286,222.63472863112312,15.408224239873217,187.49479639969218,0.20498789503194084,0.0,0.997015553104775,0
27,0.5,0.4,2.061532155703023,1.9040789604187012,1.0826925765986608,12.671724038569545,104.36461573337311,61.34946429061934,194.74122594016674,5.630071897996796,11.11111111111111,0.9202599182909567,0
