,latency,scale,effective_difficulty,avg_movement_time,throughput,avg_target_error,avg_movement_speed,effective_width,effective_distance,avg_osd,target_error_rate,avg_translation_efficiency,num_clutches
0,0.0,0.1,3.305145002291912,3.1458470556471085,1.0506375369898697,8.518973098439798,71.45613900684162,20.386515670623872,181.12078763806187,9.621267473828869,0.0,0.9200588826984395,9
1,0.0,0.15,2.9580799105814335,1.123567051357693,2.6327577931436816,10.619539798131175,162.35611600814065,26.145747256459106,177.02998858795712,0.07747901200830354,11.11111111111111,1.038357320372949,0
2,0.0,0.2,2.8984945358881014,1.0947102705637615,2.647727543832593,11.838242202975179,161.0935178159301,27.021180403354073,174.46168313178273,0.043039458861593514,11.11111111111111,1.0402724653548754,0
3,0.0,0.4,2.9447614561413658,0.8399789068433974,3.505756432870018,6.977718094584226,227.31558788150738,28.294994626228732,189.56181740088783,0.75759164449254,0.0,0.9869063502095972,0
4,0.0,0.7,3.089580187208483,0.8600042131212022,3.5925175017404967,7.186392029486062,242.24991237726422,27.074270240027808,203.39502291001156,8.479363524656321,0.0,0.8906444462945043,0
5,0.0,1.0,3.081204233890876,0.9067309697469076,3.3981460176119507,6.92590958024628,223.43052801424415,26.74761814997373,199.6229765227452,11.407398069036587,0.0,0.8534235609202648,0
6,0.25,0.1,3.2337857905165728,4.219688998328315,0.7663564285893296,8.67933555283359,51.52368986795477,21.623625000998224,181.7970184299831,0.9619511764576829,0.0,0.9945162224209955,9
7,0.25,0.15,3.0486577652655806,2.3537871572706432,1.2952138666610287,6.6376243562774455,79.27151245483661,25.344074280425527,184.36337923881862,1.2833758420932169,0.0,0.9777974403667883,0
8,0.25,0.2,3.0806370552481352,2.227811018625895,1.3828089678577224,5.623400402590664,86.29795328300823,25.693739609914896,191.672192516218,2.606419533905576,0.0,0.9623678659313817,0
9,0.25,0.4,2.631257268546487,1.6286609437730577,1.6155954857312118,8.156042859226284,121.15304181344972,36.7120367684271,190.74314952233087,2.9663438901844295,0.0,0.9650616620031784,0
10,0.25,0.7,3.527914277051871,1.480517095989651,2.382893305729535,4.793267607118818,130.66450168523502,18.16133409988462,191.3250340023139,8.611886010240699,0.0,0.87303590403006,0
11,0.25,1.0,2.7702087419280135,2.261616786321004,1.2248798110639874,7.477179595653378,88.96128207698754,30.38967830158124,176.9307170402328,25.336663100498214,0.0,0.6953398501343497,0
12,0.5,0.1,2.5338555063023085,6.3756869369082985,0.3974247059770201,10.05571185297717,32.3554435172949,38.808901054461685,185.94014504726178,4.952252871731757,0.0,0.9257823909774398,11
13,0.5,0.15,2.801785030052527,3.6510997348361545,0.7673811272039269,10.57240058785892,47.11049312905431,27.97368520785124,167.08757192667426,2.482021699697489,0.0,0.9752924766475091,0
14,0.5,0.2,2.778578972535856,2.7320488293965663,1.0170312267623587,7.777343432363954,71.23420739217039,32.84974631404457,192.55737678016237,5.303225210352483,0.0,0.9169852184726965,0
15,0.5,0.4,2.4750926945027576,2.842728561825222,0.8706750013844383,9.501490707652072,68.40415626951848,41.50222588657044,189.25139946794695,5.592106295588538,0.0,0.890306276927024,0
16,0.5,0.7,2.128639715428699,2.8930841286977134,0.7357683429644614,11.27570110834525,65.01165758268118,54.883207856661585,185.1237829035536,17.975056758635684,22.22222222222222,0.770818122283388,0
17,0.5,1.0,2.2421443957996963,2.839880201551649,0.7895207673107609,11.624357394783805,68.46750117490264,50.978206357126545,190.1995600237243,62.52176560723606,11.11111111111111,0.6302683167698464,0
18,0.75,0.1,2.5249679049304903,9.232562965816921,0.273485045732052,10.174285880384774,22.130506681152884,38.63521296170955,183.73386123176684,3.0297510670010186,0.0,0.9135626474283333,12
19,0.75,0.15,2.7744007637358545,4.911573383543226,0.5648700624186526,6.901726970151996,40.33675526074776,32.646962476114695,190.72087001562514,10.401392792371581,0.0,0.8850126081505184,1
20,0.75,0.2,2.5068624843055187,3.5959110260009766,0.6971425227651998,9.485422742567692,55.74485719418106,42.27176248590074,197.99359594102884,10.303433850848164,0.0,0.8923355080123638,0
21,0.75,0.4,2.5028366983438763,3.68867564201355,0.6785190516175731,9.620613720877273,56.186851627458864,43.20885121179478,201.69839801532234,16.637312167129455,11.11111111111111,0.8065844151616931,0
22,0.75,0.7,2.3529313084275056,3.746530214945475,0.6280294495000487,10.622162213456853,52.350332578046924,46.24386373925461,189.99808390227207,32.01413290077705,0.0,0.698562795760424,0
23,0.75,1.0,1.8439357389879294,4.18329389890035,0.44078560664184735,17.203877304572703,49.08166548650712,75.74984925817925,196.1830421279152,47.059198564697475,33.33333333333333,0.6498933906958048,0
